video,rhythm_score
ACCEDE09521.mp4,233
ACCEDE09247.mp4,110
ACCEDE09509.mp4,209
ACCEDE09737.mp4,245
ACCEDE09723.mp4,64
ACCEDE09680.mp4,211
ACCEDE09694.mp4,35
ACCEDE09643.mp4,57
ACCEDE09657.mp4,17
ACCEDE09482.mp4,206
ACCEDE09496.mp4,223
ACCEDE09327.mp4,226
ACCEDE09441.mp4,218
ACCEDE09455.mp4,165
ACCEDE09333.mp4,222
ACCEDE09469.mp4,226
ACCEDE09468.mp4,236
ACCEDE09454.mp4,196
ACCEDE09332.mp4,234
ACCEDE09326.mp4,247
ACCEDE09440.mp4,196
ACCEDE09497.mp4,262
ACCEDE09483.mp4,262
ACCEDE09656.mp4,14
ACCEDE09642.mp4,28
ACCEDE09695.mp4,219
ACCEDE09681.mp4,170
ACCEDE09722.mp4,69
ACCEDE09736.mp4,162
ACCEDE09508.mp4,253
ACCEDE09520.mp4,246
ACCEDE09246.mp4,202
ACCEDE09252.mp4,215
ACCEDE09534.mp4,158
ACCEDE09285.mp4,281
ACCEDE09291.mp4,154
ACCEDE09288.mp4,221
ACCEDE09539.mp4,204
ACCEDE09511.mp4,263
ACCEDE09277.mp4,280
ACCEDE09263.mp4,88
ACCEDE09505.mp4,269
ACCEDE09713.mp4,183
ACCEDE09707.mp4,160
ACCEDE09698.mp4,124
ACCEDE09667.mp4,189
ACCEDE09673.mp4,216
ACCEDE09459.mp4,239
ACCEDE09465.mp4,286
ACCEDE09303.mp4,244
ACCEDE09317.mp4,211
ACCEDE09471.mp4,253
ACCEDE09316.mp4,254
ACCEDE09470.mp4,200
ACCEDE09464.mp4,238
ACCEDE09302.mp4,298
ACCEDE09458.mp4,265
ACCEDE09672.mp4,250
ACCEDE09666.mp4,67
ACCEDE09699.mp4,229
ACCEDE09706.mp4,140
ACCEDE09712.mp4,196
ACCEDE09262.mp4,219
ACCEDE09504.mp4,247
ACCEDE09510.mp4,267
ACCEDE09276.mp4,231
ACCEDE09538.mp4,271
ACCEDE09289.mp4,244
ACCEDE09248.mp4,247
ACCEDE09506.mp4,228
ACCEDE09260.mp4,200
ACCEDE09274.mp4,237
ACCEDE09512.mp4,211
ACCEDE09738.mp4,212
ACCEDE09704.mp4,65
ACCEDE09710.mp4,145
ACCEDE09658.mp4,22
ACCEDE09670.mp4,69
ACCEDE09664.mp4,36
ACCEDE09499.mp4,266
ACCEDE09328.mp4,261
ACCEDE09472.mp4,218
ACCEDE09314.mp4,230
ACCEDE09300.mp4,191
ACCEDE09466.mp4,215
ACCEDE09301.mp4,238
ACCEDE09467.mp4,225
ACCEDE09473.mp4,225
ACCEDE09315.mp4,80
ACCEDE09329.mp4,214
ACCEDE09498.mp4,298
ACCEDE09665.mp4,159
ACCEDE09671.mp4,0
ACCEDE09659.mp4,57
ACCEDE09711.mp4,170
ACCEDE09705.mp4,163
ACCEDE09739.mp4,268
ACCEDE09275.mp4,211
ACCEDE09513.mp4,197
ACCEDE09507.mp4,263
ACCEDE09261.mp4,196
ACCEDE09249.mp4,239
ACCEDE09265.mp4,182
ACCEDE09503.mp4,271
ACCEDE09517.mp4,269
ACCEDE09271.mp4,185
ACCEDE09259.mp4,252
ACCEDE09701.mp4,124
ACCEDE09715.mp4,228
ACCEDE09729.mp4,217
ACCEDE09675.mp4,0
ACCEDE09661.mp4,0
ACCEDE09649.mp4,13
ACCEDE09488.mp4,289
ACCEDE09311.mp4,109
ACCEDE09477.mp4,202
ACCEDE09463.mp4,244
ACCEDE09305.mp4,272
ACCEDE09339.mp4,141
ACCEDE09338.mp4,111
ACCEDE09462.mp4,152
ACCEDE09304.mp4,223
ACCEDE09310.mp4,220
ACCEDE09476.mp4,213
ACCEDE09489.mp4,205
ACCEDE09648.mp4,89
ACCEDE09660.mp4,113
ACCEDE09674.mp4,226
ACCEDE09728.mp4,100
ACCEDE09714.mp4,276
ACCEDE09700.mp4,99
ACCEDE09258.mp4,266
ACCEDE09516.mp4,226
ACCEDE09270.mp4,217
ACCEDE09264.mp4,212
ACCEDE09502.mp4,249
ACCEDE09299.mp4,140
ACCEDE09272.mp4,221
ACCEDE09514.mp4,214
ACCEDE09500.mp4,285
ACCEDE09266.mp4,211
ACCEDE09528.mp4,100
ACCEDE09716.mp4,138
ACCEDE09702.mp4,260
ACCEDE09689.mp4,240
ACCEDE09662.mp4,93
ACCEDE09676.mp4,211
ACCEDE09306.mp4,275
ACCEDE09460.mp4,216
ACCEDE09474.mp4,235
ACCEDE09312.mp4,242
ACCEDE09448.mp4,156
ACCEDE09449.mp4,240
ACCEDE09475.mp4,256
ACCEDE09313.mp4,271
ACCEDE09307.mp4,292
ACCEDE09461.mp4,180
ACCEDE09677.mp4,274
ACCEDE09663.mp4,119
ACCEDE09688.mp4,113
ACCEDE09703.mp4,264
ACCEDE09717.mp4,117
ACCEDE09529.mp4,233
ACCEDE09501.mp4,289
ACCEDE09267.mp4,269
ACCEDE09273.mp4,210
ACCEDE09515.mp4,222
ACCEDE09298.mp4,52
ACCEDE09599.mp4,102
ACCEDE09572.mp4,210
ACCEDE09566.mp4,293
ACCEDE09758.mp4,156
ACCEDE09770.mp4,169
ACCEDE09764.mp4,187
ACCEDE09638.mp4,0
ACCEDE09604.mp4,226
ACCEDE09610.mp4,204
ACCEDE09348.mp4,213
ACCEDE09360.mp4,149
ACCEDE09406.mp4,52
ACCEDE09412.mp4,206
ACCEDE09374.mp4,232
ACCEDE09413.mp4,164
ACCEDE09375.mp4,266
ACCEDE09361.mp4,155
ACCEDE09407.mp4,95
ACCEDE09349.mp4,122
ACCEDE09611.mp4,161
ACCEDE09605.mp4,264
ACCEDE09639.mp4,63
ACCEDE09765.mp4,241
ACCEDE09771.mp4,219
ACCEDE09759.mp4,285
ACCEDE09567.mp4,233
ACCEDE09573.mp4,185
ACCEDE09598.mp4,223
ACCEDE09559.mp4,245
ACCEDE09565.mp4,216
ACCEDE09571.mp4,238
ACCEDE09798.mp4,294
ACCEDE09767.mp4,225
ACCEDE09773.mp4,151
ACCEDE09613.mp4,241
ACCEDE09607.mp4,284
ACCEDE09388.mp4,0
ACCEDE09439.mp4,188
ACCEDE09377.mp4,175
ACCEDE09411.mp4,225
ACCEDE09405.mp4,169
ACCEDE09363.mp4,256
ACCEDE09404.mp4,174
ACCEDE09362.mp4,266
ACCEDE09376.mp4,136
ACCEDE09410.mp4,98
ACCEDE09438.mp4,211
ACCEDE09389.mp4,108
ACCEDE09606.mp4,220
ACCEDE09612.mp4,210
ACCEDE09772.mp4,115
ACCEDE09766.mp4,246
ACCEDE09799.mp4,284
ACCEDE09570.mp4,222
ACCEDE09564.mp4,199
ACCEDE09558.mp4,82
ACCEDE09560.mp4,214
ACCEDE09574.mp4,181
ACCEDE09548.mp4,199
ACCEDE09789.mp4,233
ACCEDE09762.mp4,291
ACCEDE09776.mp4,315
ACCEDE09616.mp4,280
ACCEDE09602.mp4,212
ACCEDE09399.mp4,201
ACCEDE09414.mp4,96
ACCEDE09372.mp4,141
ACCEDE09366.mp4,0
ACCEDE09400.mp4,175
ACCEDE09428.mp4,114
ACCEDE09429.mp4,174
ACCEDE09367.mp4,202
ACCEDE09401.mp4,155
ACCEDE09415.mp4,74
ACCEDE09373.mp4,10
ACCEDE09398.mp4,158
ACCEDE09603.mp4,227
ACCEDE09617.mp4,216
ACCEDE09777.mp4,345
ACCEDE09763.mp4,281
ACCEDE09788.mp4,193
ACCEDE09549.mp4,186
ACCEDE09575.mp4,226
ACCEDE09561.mp4,237
ACCEDE09588.mp4,166
ACCEDE09577.mp4,138
ACCEDE09563.mp4,249
ACCEDE09239.mp4,222
ACCEDE09775.mp4,272
ACCEDE09761.mp4,283
ACCEDE09749.mp4,252
ACCEDE09601.mp4,202
ACCEDE09615.mp4,261
ACCEDE09629.mp4,252
ACCEDE09403.mp4,250
ACCEDE09365.mp4,12
ACCEDE09371.mp4,211
ACCEDE09417.mp4,91
ACCEDE09359.mp4,288
ACCEDE09358.mp4,283
ACCEDE09370.mp4,242
ACCEDE09416.mp4,220
ACCEDE09402.mp4,156
ACCEDE09364.mp4,271
ACCEDE09628.mp4,213
ACCEDE09614.mp4,208
ACCEDE09600.mp4,180
ACCEDE09748.mp4,293
ACCEDE09760.mp4,229
ACCEDE09774.mp4,247
ACCEDE09238.mp4,257
ACCEDE09562.mp4,214
ACCEDE09576.mp4,163
ACCEDE09589.mp4,233
